ID,COUNTRY,CONTINENT
AFG,Afghanistan,Asia
ALB,Albania,Europe
DZA,Algeria,Africa
ASM,American Samoa,Oceania
AND,Andorra,Europe
AGO,Angola,Africa
ATG,Antigua and Barbuda,Americas
AZE,Azerbaijan,Asia
BHS,Bahamas,Americas
BGD,Bangladesh,Asia
BRB,Barbados,Americas
BEL,Belgium,Europe
BLZ,Belize,Americas
BOL,Bolivia,Americas
BGR,Bulgaria,Europe
BFA,Burkina Faso,Africa
CAN,Canada,Americas
CAF,Central African Republic,Africa
COL,Colombia,Americas
COM,Comoros,Africa
CYP,Cyprus,Europe
DNK,Denmark,Europe
DMA,Dominica,Americas
TCD,Chad,Africa
CRI,Costa Rica,Americas
COD,Democratic Republic of Congo,Africa
DOM,Dominican Republic,Americas
GNQ,Equatorial Guinea,Africa
ERI,Eritrea,Africa
FRA,France,Europe
GHA,Ghana,Africa
GNB,Guinea-Bissau,Africa
ISL,Iceland,Europe
MHL,Marshall Islands,Oceania
MEX,Mexico,Americas
MCO,Monaco,Europe
MLT,Malta,Europe
SVK,Slovakia,Europe
SYC,Seychelles,Africa
AUS,Australia,Oceania
BEN,Benin,Africa
BRN,Brunei,Asia
DJI,Djibouti,Africa
CPV,Cape Verde,Africa
GUY,Guyana,Americas
HND,Honduras,Americas
IDN,Indonesia,Asia
KWT,Kuwait,Asia
LAO,Laos,Asia
LTU,Lithuania,Europe
SWZ,Eswatini,Africa
IRQ,Iraq,Asia
MNE,Montenegro,Europe
MAR,Morocco,Africa
NRU,Nauru,Oceania
NLD,Netherlands,Europe
VCT,Saint Vincent and the Grenadines,Americas
SYR,Syria,Asia
TZA,Tanzania,Africa
UZB,Uzbekistan,Asia
MKD,North Macedonia,Europe
CHE,Switzerland,Europe
TON,Tonga,Oceania
ARM,Armenia,Asia
AUT,Austria,Europe
BMU,Bermuda,Americas
BTN,Bhutan,Asia
BIH,Bosnia and Herzegovina,Europe
CMR,Cameroon,Africa
CHL,Chile,Americas
CIV,Cote d'Ivoire,Africa
TLS,East Timor,Asia
ECU,Ecuador,Americas
FJI,Fiji,Oceania
GAB,Gabon,Africa
ISR,Israel,Asia
KEN,Kenya,Africa
NER,Niger,Africa
OMN,Oman,Asia
ROU,Romania,Europe
TKM,Turkmenistan,Asia
ARG,Argentina,Americas
BLR,Belarus,Europe
BWA,Botswana,Africa
KHM,Cambodia,Asia
COG,Congo,Africa
SLV,El Salvador,Americas
HRV,Croatia,Europe
EST,Estonia,Europe
GRD,Grenada,Americas
GUM,Guam,Oceania
GTM,Guatemala,Americas
IND,India,Asia
ITA,Italy,Europe
MDA,Moldova,Europe
FIN,Finland,Europe
LBY,Libya,Africa
MWI,Malawi,Africa
MOZ,Mozambique,Africa
MMR,Myanmar,Asia
NGA,Nigeria,Africa
SMR,San Marino,Europe
SRB,Serbia,Europe
SLE,Sierra Leone,Africa
SLB,Solomon Islands,Oceania
ARE,United Arab Emirates,Asia
SWE,Sweden,Europe
GBR,United Kingdom,Europe
BRA,Brazil,Americas
COK,Cook Islands,Oceania
ETH,Ethiopia,Africa
JOR,Jordan,Asia
KGZ,Kyrgyzstan,Asia
MDG,Madagascar,Africa
MUS,Mauritius,Africa
HTI,Haiti,Americas
JPN,Japan,Asia
LBR,Liberia,Africa
MNG,Mongolia,Asia
NAM,Namibia,Africa
NIU,Niue,Oceania
PSE,Palestine,Asia
PRY,Paraguay,Americas
POL,Poland,Europe
PRT,Portugal,Europe
PRI,Puerto Rico,Americas
RUS,Russia,Europe
RWA,Rwanda,Africa
TKL,Tokelau,Oceania
TUR,Turkey,Asia
URY,Uruguay,Americas
OWID_WRL,World,
ZWE,Zimbabwe,Africa
VIR,United States Virgin Islands,Americas
VEN,Venezuela,Americas
YEM,Yemen,Asia
PLW,Palau,Oceania
KNA,Saint Kitts and Nevis,Americas
STP,Sao Tome and Principe,Africa
SSD,South Sudan,Africa
BDI,Burundi,Africa
GEO,Georgia,Asia
MDV,Maldives,Asia
BHR,Bahrain,Asia
CHN,China,Asia
CUB,Cuba,Americas
GMB,Gambia,Africa
DEU,Germany,Europe
GRC,Greece,Europe
GRL,Greenland,Americas
GIN,Guinea,Africa
IRL,Ireland,Europe
KIR,Kiribati,Oceania
LVA,Latvia,Europe
LBN,Lebanon,Asia
LSO,Lesotho,Africa
HUN,Hungary,Europe
MRT,Mauritania,Africa
FSM,Micronesia (country),Oceania
MNP,Northern Mariana Islands,Oceania
SOM,Somalia,Africa
ZAF,South Africa,Africa
SDN,Sudan,Africa
TWN,Taiwan,Asia
TGO,Togo,Africa
SAU,Saudi Arabia,Asia
CZE,Czechia,Europe
EGY,Egypt,Africa
IRN,Iran,Asia
KAZ,Kazakhstan,Asia
LUX,Luxembourg,Europe
MYS,Malaysia,Asia
JAM,Jamaica,Americas
MLI,Mali,Africa
NIC,Nicaragua,Americas
PRK,North Korea,Asia
NOR,Norway,Europe
PAN,Panama,Americas
PER,Peru,Americas
PHL,Philippines,Asia
QAT,Qatar,Asia
LCA,Saint Lucia,Americas
SEN,Senegal,Africa
KOR,South Korea,Asia
ESP,Spain,Europe
SUR,Suriname,Americas
TJK,Tajikistan,Asia
THA,Thailand,Asia
TUN,Tunisia,Africa
TUV,Tuvalu,Oceania
UGA,Uganda,Africa
UKR,Ukraine,Europe
USA,United States,Americas
VUT,Vanuatu,Oceania
VNM,Vietnam,Asia
WSM,Samoa,Oceania
TTO,Trinidad and Tobago,Americas
ZMB,Zambia,Africa
PAK,Pakistan,Asia
LKA,Sri Lanka,Asia
NPL,Nepal,Asia
PNG,Papua New Guinea,Oceania
SVN,Slovenia,Europe
NZL,New Zealand,Oceania
SGP,Singapore,Asia
