Entity,Code,Year,Indicator:Mental health units in general hospitals (per 100 000 population)
Afghanistan,AFG,2016,0.01186
Albania,ALB,2016,0.06841
Algeria,DZA,2016,0.06772
Argentina,ARG,2016,1.07099
Armenia,ARM,2016,0.06856
Australia,AUS,2015,0.60085
Austria,AUT,2015,0.26502
Azerbaijan,AZE,2016,0.0208
Bahamas,BHS,2015,0.25851
Bangladesh,BGD,2016,0.03474
Barbados,BRB,2015,0.35184
Belarus,BLR,2016,0.06325
Belgium,BEL,2013,0.55812
Belize,BLZ,2016,1.9483
Bhutan,BTN,2016,0.127
Bolivia,BOL,2016,0.00932
Bosnia and Herzegovina,BIH,2015,0.53734
Botswana,BWA,2017,0.22633
Brazil,BRA,2016,0.11458
Brunei,BRN,2016,0.47899
Bulgaria,BGR,2016,0.30652
Burkina Faso,BFA,2016,0.28712
Cambodia,KHM,2016,0.00644
Canada,CAN,2017,0.40112
Cape Verde,CPV,2017,0.56294
Central African Republic,CAF,2017,0.022
Chad,TCD,2016,0.00714
Chile,CHL,2016,0.17452
Colombia,COL,2016,0.22186
Comoros,COM,2017,0.12863
Congo,COG,2016,0.04003
Costa Rica,CRI,2016,0.0416
Cote d'Ivoire,CIV,2016,0.01298
Croatia,HRV,2016,0.51936
Cuba,CUB,2016,0.14832
Cyprus,CYP,2015,0.17227
Czechia,CZE,2015,0.28292
Dominican Republic,DOM,2016,0.07598
East Timor,TLS,2016,0.08058
Ecuador,ECU,2016,0.17344
El Salvador,SLV,2016,0.25347
Eritrea,ERI,2016,0.20631
Estonia,EST,2016,0.684
Eswatini,SWZ,2017,0.37907
Ethiopia,ETH,2017,0.05207
Fiji,FJI,2016,0.33627
Finland,FIN,2017,0.74791
Georgia,GEO,2016,0.07592
Germany,DEU,2015,0.49077
Ghana,GHA,2016,1.09488
Greece,GRC,2016,0.32983
Grenada,GRD,2016,0.93613
Guatemala,GTM,2016,0.00615
Guinea,GIN,2016,0.00827
Guyana,GUY,2016,0.13012
Haiti,HTI,2016,0.00934
Hungary,HUN,2016,2.6472
Iceland,ISL,2016,4.54211
India,IND,2016,0.02972
Indonesia,IDN,2016,0.1042
Iran,IRN,2017,0.20035
Iraq,IRQ,2017,0.06092
Ireland,IRL,2016,0.61701
Israel,ISR,2016,0.1364
Italy,ITA,2015,0.59492
Jamaica,JAM,2015,0.06964
Japan,JPN,2016,0.45009
Jordan,JOR,2016,0.03275
Kenya,KEN,2016,0.03176
Kyrgyzstan,KGZ,2016,0.13639
Latvia,LVA,2015,0.15055
Lebanon,LBN,2015,0.13672
Liberia,LBR,2016,0.06667
Lithuania,LTU,2016,0.68215
Luxembourg,LUX,2015,0.70579
Madagascar,MDG,2016,0.04539
Malaysia,MYS,2016,0.15298
Maldives,MDV,2017,0.239
Mali,MLI,2016,0.00572
Mauritania,MRT,2013,0.02391
Mauritius,MUS,2017,0.0794
Mexico,MEX,2016,0.00635
Moldova,MDA,2015,0.07378
Monaco,MCO,2016,2.61049
Mongolia,MNG,2016,0.47029
Montenegro,MNE,2016,0.31838
Morocco,MAR,2016,0.08045
Mozambique,MOZ,2016,0.03927
Myanmar,MMR,2016,0.04198
Namibia,NAM,2016,0.08246
Nepal,NPL,2016,0.06281
New Zealand,NZL,2016,0.60678
Nicaragua,NIC,2017,0.01644
Niger,NER,2016,0.03259
North Macedonia,MKD,2017,0.72139
Norway,NOR,2016,0.48078
Pakistan,PAK,2016,0.42243
Panama,PAN,2016,0.27713
Paraguay,PRY,2016,0.03012
Peru,PER,2016,0.05737
Philippines,PHL,2016,0.08258
Poland,POL,2016,0.26133
Portugal,PRT,2016,0.28795
Qatar,QAT,2016,0.0382
Romania,ROU,2016,0.39242
Rwanda,RWA,2016,0.39554
Saint Kitts and Nevis,KNA,2017,3.68406
Samoa,WSM,2016,0.51611
Sao Tome and Principe,STP,2016,0.51137
Saudi Arabia,SAU,2016,0.01268
Senegal,SEN,2016,0.02671
Serbia,SRB,2017,0.40672
Singapore,SGP,2016,0.07226
Slovenia,SVN,2016,0.0482
South Africa,ZAF,2016,0.07234
South Korea,KOR,2016,0.38938
South Sudan,SSD,2016,0.00842
Spain,ESP,2015,1.02807
Sri Lanka,LKA,2017,0.14966
Switzerland,CHE,2015,0.25241
Syria,SYR,2016,0.01601
Tajikistan,TJK,2016,0.12868
Tanzania,TZA,2015,0.00928
Thailand,THA,2016,0.15148
Togo,TGO,2016,0.10786
Tonga,TON,2016,0.94017
Turkey,TUR,2016,0.45483
Uganda,UGA,2016,0.03238
Ukraine,UKR,2016,0.0515
United Arab Emirates,ARE,2016,0.05462
United States,USA,2016,0.34914
Uruguay,URY,2016,0.69939
Uzbekistan,UZB,2016,0.01291
Vanuatu,VUT,2016,0.75585
Vietnam,VNM,2016,0.0171
Yemen,YEM,2016,0.02601
Zambia,ZMB,2016,0.06211
Zimbabwe,ZWE,2016,0.02535