Entity,Code,Year,Indicator:Psychiatrists working in mental health sector (per 100 000 population)
Afghanistan,AFG,2016,0.2312
Albania,ALB,2016,1.47091
Angola,AGO,2016,0.05743
Antigua and Barbuda,ATG,2016,1.00077
Argentina,ARG,2016,21.7054
Armenia,ARM,2016,3.83963
Australia,AUS,2015,13.52546
Azerbaijan,AZE,2016,3.45205
Bahrain,BHR,2017,5.46705
Bangladesh,BGD,2016,0.13027
Belarus,BLR,2016,13.50444
Belgium,BEL,2013,20.0568
Belize,BLZ,2016,1.39164
Bhutan,BTN,2016,0.50801
Bolivia,BOL,2016,1.12824
Bosnia and Herzegovina,BIH,2015,8.03176
Brazil,BRA,2016,3.16466
Brunei,BRN,2016,1.19748
Bulgaria,BGR,2016,7.20317
Burkina Faso,BFA,2016,0.03865
Burundi,BDI,2017,0.0098
Cambodia,KHM,2016,0.38666
Canada,CAN,2017,14.67922
Central African Republic,CAF,2017,0.022
Chad,TCD,2016,0.00714
Chile,CHL,2016,6.96967
China,CHN,2015,2.1991
Colombia,COL,2016,1.83501
Comoros,COM,2017,0.12863
Congo,COG,2016,0.08007
Cook Islands,COK,2016,5.73099
Costa Rica,CRI,2016,3.93107
Cote d'Ivoire,CIV,2016,0.12982
Croatia,HRV,2016,11.09537
Cuba,CUB,2016,9.05646
Czechia,CZE,2015,12.36354
Dominican Republic,DOM,2016,2.27955
East Timor,TLS,2016,0.08058
Ecuador,ECU,2016,0.45836
Egypt,EGY,2016,1.59952
El Salvador,SLV,2016,0.88713
Equatorial Guinea,GNQ,2017,0.68063
Estonia,EST,2016,16.18799
Eswatini,SWZ,2017,0.07581
Ethiopia,ETH,2017,0.0761
Fiji,FJI,2016,0.22418
Finland,FIN,2017,23.58643
France,FRA,2017,20.9069
Gabon,GAB,2016,0.25904
Gambia,GMB,2016,0.10113
Georgia,GEO,2016,6.70627
Germany,DEU,2015,13.20192
Ghana,GHA,2016,0.05801
Greece,GRC,2016,5.80328
Grenada,GRD,2016,1.87226
Guatemala,GTM,2016,0.49223
Guinea,GIN,2016,0.02481
Guyana,GUY,2016,0.91085
Haiti,HTI,2016,0.07469
Honduras,HND,2014,0.65842
Hungary,HUN,2016,11.0794
India,IND,2016,0.29235
Indonesia,IDN,2016,0.30988
Iran,IRN,2017,2.01612
Iraq,IRQ,2017,0.34334
Israel,ISR,2016,9.87036
Italy,ITA,2015,5.97773
Jamaica,JAM,2015,1.14905
Japan,JPN,2016,11.86717
Jordan,JOR,2016,1.12454
Kenya,KEN,2016,0.18418
Kyrgyzstan,KGZ,2016,1.68786
Latvia,LVA,2015,9.98664
Lebanon,LBN,2015,1.21337
Liberia,LBR,2016,0.04445
Lithuania,LTU,2016,18.45203
Luxembourg,LUX,2015,17.82119
Madagascar,MDG,2016,0.05777
Malaysia,MYS,2016,1.04807
Maldives,MDV,2017,2.39004
Mali,MLI,2016,0.02862
Marshall Islands,MHL,2017,0
Mauritania,MRT,2013,0.07173
Mauritius,MUS,2017,2.38198
Mexico,MEX,2016,0.20732
Moldova,MDA,2015,4.54995
Monaco,MCO,2016,31.32587
Mongolia,MNG,2016,4.03107
Montenegro,MNE,2016,8.27791
Morocco,MAR,2016,0.839
Mozambique,MOZ,2016,0.04641
Myanmar,MMR,2016,0.38356
Namibia,NAM,2016,0.37105
Nepal,NPL,2016,0.35594
Netherlands,NLD,2015,20.86962
New Zealand,NZL,2016,28.54027
Nicaragua,NIC,2017,0.69056
Niger,NER,2016,0.01397
North Macedonia,MKD,2017,14.42788
Norway,NOR,2016,48.03998
Oman,OMN,2015,1.73817
Panama,PAN,2016,4.03099
Peru,PER,2016,2.94805
Philippines,PHL,2016,0.51811
Poland,POL,2016,24.176
Qatar,QAT,2016,2.71237
Romania,ROU,2016,5.66495
Russia,RUS,2015,8.47882
Rwanda,RWA,2016,0.06019
Saint Kitts and Nevis,KNA,2017,5.52608
Saint Lucia,LCA,2016,0.56431
Samoa,WSM,2016,1.54832
Sao Tome and Principe,STP,2016,0.51137
Saudi Arabia,SAU,2016,1.32141
Senegal,SEN,2016,0.20031
Serbia,SRB,2017,8.64282
Seychelles,SYC,2016,2.13352
Sierra Leone,SLE,2017,0.04145
Singapore,SGP,2016,4.19131
Slovenia,SVN,2016,11.95303
South Africa,ZAF,2016,1.52104
South Korea,KOR,2016,5.79322
South Sudan,SSD,2016,0.02525
Spain,ESP,2015,9.69445
Sri Lanka,LKA,2017,0.51656
Sudan,SDN,2015,0.08021
Suriname,SUR,2016,1.26535
Sweden,SWE,2016,20.86328
Switzerland,CHE,2015,43.95555
Syria,SYR,2016,0.36829
Tajikistan,TJK,2016,1.39203
Tanzania,TZA,2015,0.05568
Thailand,THA,2016,0.72097
Togo,TGO,2016,0.05393
Tonga,TON,2016,2.8205
Turkey,TUR,2016,1.63661
Uganda,UGA,2016,0.0822
Ukraine,UKR,2016,6.9305
United Arab Emirates,ARE,2016,1.6495
United States,USA,2016,10.54202
Uruguay,URY,2016,14.13355
Uzbekistan,UZB,2016,2.6117
Vanuatu,VUT,2016,0.37792
Yemen,YEM,2016,0.20062
Zambia,ZMB,2016,0.0559
Zimbabwe,ZWE,2016,0.09507