Entity,Code,Year,Share - Question: mh3b - How much science helps to treat anxiety or depression - Answer: A lot - Gender: all - Age_group: all
Africa,,2020,34.72943
Albania,ALB,2020,37.42614
Algeria,DZA,2020,21.883717
Argentina,ARG,2020,32.27841
Asia,,2020,30.256565
Australia,AUS,2020,35.39949
Austria,AUT,2020,25.481304
Bahrain,BHR,2020,37.462055
Bangladesh,BGD,2020,22.462547
Belgium,BEL,2020,41.44885
Benin,BEN,2020,19.24251
Bolivia,BOL,2020,29.514961
Bosnia and Herzegovina,BIH,2020,25.162647
Brazil,BRA,2020,37.485664
Bulgaria,BGR,2020,11.719275
Burkina Faso,BFA,2020,28.126577
Cambodia,KHM,2020,28.42155
Cameroon,CMR,2020,26.669756
Canada,CAN,2020,27.514576
Chile,CHL,2020,32.30097
China,CHN,2020,28.66689
Colombia,COL,2020,36.067574
Congo,COG,2020,24.969625
Costa Rica,CRI,2020,44.63786
Cote d'Ivoire,CIV,2020,22.729172
Croatia,HRV,2020,27.016684
Cyprus,CYP,2020,32.369892
Czechia,CZE,2020,30.203672
Denmark,DNK,2020,24.692074
Dominican Republic,DOM,2020,42.274033
Ecuador,ECU,2020,35.481266
Egypt,EGY,2020,35.58408
El Salvador,SLV,2020,44.509285
Estonia,EST,2020,38.075443
Ethiopia,ETH,2020,48.597286
Europe,,2020,26.696373
Finland,FIN,2020,31.635607
France,FRA,2020,30.506567
Gabon,GAB,2020,21.780052
Georgia,GEO,2020,15.78224
Germany,DEU,2020,27.324726
Ghana,GHA,2020,38.18427
Greece,GRC,2020,22.181662
Guinea,GIN,2020,23.705845
High-income countries,,2020,28.073017
Hong Kong,HKG,2020,11.859692
Hungary,HUN,2020,21.545107
India,IND,2020,32.733875
Indonesia,IDN,2020,24.767134
Iran,IRN,2020,32.613842
Iraq,IRQ,2020,41.893307
Ireland,IRL,2020,36.090324
Israel,ISR,2020,23.803692
Italy,ITA,2020,21.278467
Japan,JPN,2020,14.890145
Jordan,JOR,2020,41.566414
Kazakhstan,KAZ,2020,28.090082
Kenya,KEN,2020,34.09549
Kosovo,OWID_KOS,2020,34.430626
Kyrgyzstan,KGZ,2020,37.99353
Laos,LAO,2020,23.47141
Latvia,LVA,2020,16.05256
Lebanon,LBN,2020,29.811108
Lithuania,LTU,2020,27.443499
Low-income countries,,2020,39.373947
Lower-middle-income countries,,2020,31.865395
Malaysia,MYS,2020,33.669918
Mali,MLI,2020,43.00417
Malta,MLT,2020,54.41445
Mauritius,MUS,2020,36.278885
Mexico,MEX,2020,41.755096
Moldova,MDA,2020,26.634209
Mongolia,MNG,2020,24.563938
Montenegro,MNE,2020,19.528006
Morocco,MAR,2020,46.432285
Myanmar,MMR,2020,25.982208
Namibia,NAM,2020,36.33102
Nepal,NPL,2020,29.127508
Netherlands,NLD,2020,26.518652
New Zealand,NZL,2020,30.0229
Nicaragua,NIC,2020,44.816994
Nigeria,NGA,2020,21.405302
North America,,2020,32.965313
North Macedonia,MKD,2020,18.73578
Norway,NOR,2020,31.655674
Oceania,,2020,34.530952
Paraguay,PRY,2020,33.130978
Peru,PER,2020,29.370092
Philippines,PHL,2020,50.64162
Poland,POL,2020,31.032385
Portugal,PRT,2020,35.862297
Romania,ROU,2020,37.578926
Russia,RUS,2020,19.16482
Saudi Arabia,SAU,2020,37.82684
Senegal,SEN,2020,51.775894
Serbia,SRB,2020,29.86392
Slovakia,SVK,2020,18.686235
Slovenia,SVN,2020,32.53238
South Africa,ZAF,2020,48.650986
South America,,2020,35.64003
South Korea,KOR,2020,35.89851
Spain,ESP,2020,41.47452
Sri Lanka,LKA,2020,32.96147
Sweden,SWE,2020,33.52477
Switzerland,CHE,2020,33.019737
Taiwan,TWN,2020,12.283301
Tanzania,TZA,2020,45.38723
Thailand,THA,2020,20.861624
Tunisia,TUN,2020,41.24646
Turkey,TUR,2020,40.14767
Uganda,UGA,2020,21.671116
Ukraine,UKR,2020,16.360046
United Arab Emirates,ARE,2020,41.60711
United Kingdom,GBR,2020,29.30346
United States,USA,2020,29.667114
Upper-middle-income countries,,2020,30.666277
Uruguay,URY,2020,35.034195
Uzbekistan,UZB,2020,41.22773
Venezuela,VEN,2020,38.2722
Vietnam,VNM,2020,42.6651
World,OWID_WRL,2020,30.882074
Zambia,ZMB,2020,45.94365
Zimbabwe,ZWE,2020,48.448864