Entity,Code,Year,Share - Question: mh5 - Someone local comfortable speaking about anxiety/depression with someone they know - Answer: Very comfortable - Gender: all - Age_group: all,Share - Question: mh5 - Someone local comfortable speaking about anxiety/depression with someone they know - Answer: Somewhat comfortable - Gender: all - Age_group: all,Share - Question: mh5 - Someone local comfortable speaking about anxiety/depression with someone they know - Answer: Not at all comfortable - Gender: all - Age_group: all,Share - Question: mh5 - Someone local comfortable speaking about anxiety/depression with someone they know - Answer: Don't know/Refused - Gender: all - Age_group: all
Africa,,2020,31.021803,34.817074,26.631048,7.5300813
Albania,ALB,2020,25.491678,38.33448,27.573915,8.599926
Algeria,DZA,2020,31.641382,46.207172,11.403895,10.747551
Argentina,ARG,2020,26.543772,42.311417,26.33392,4.810892
Asia,,2020,24.826124,32.63312,26.5225,16.01825
Australia,AUS,2020,7.19499,60.27446,30.768505,1.7620422
Austria,AUT,2020,47.740067,35.55934,12.19925,4.501344
Bahrain,BHR,2020,43.191044,41.618427,10.974083,4.2164454
Bangladesh,BGD,2020,26.184614,30.662405,13.897019,29.255962
Belgium,BEL,2020,11.0023155,35.729443,47.4551,5.813142
Benin,BEN,2020,12.114276,26.099257,49.806866,11.979602
Bolivia,BOL,2020,19.951153,47.748497,26.741785,5.5585666
Bosnia and Herzegovina,BIH,2020,12.805407,35.223564,45.78247,6.1885567
Brazil,BRA,2020,27.168146,44.37738,27.442812,1.0116584
Bulgaria,BGR,2020,19.051838,42.100044,30.427782,8.420335
Burkina Faso,BFA,2020,26.533657,33.821262,32.131737,7.5133395
Cambodia,KHM,2020,15.366249,42.148834,25.787365,16.697548
Cameroon,CMR,2020,20.092508,35.24113,41.692066,2.9742935
Canada,CAN,2020,8.873781,59.53319,30.16054,1.4324862
Chile,CHL,2020,24.403812,41.044777,31.721937,2.829471
China,CHN,2020,10.248862,32.990505,33.000927,23.759699
Colombia,COL,2020,21.957514,44.340546,31.50998,2.1919575
Congo,COG,2020,27.280973,31.17381,33.87431,7.6709075
Costa Rica,CRI,2020,25.011768,40.742714,31.325611,2.9199054
Cote d'Ivoire,CIV,2020,22.773167,23.682457,38.2792,15.265173
Croatia,HRV,2020,20.000946,39.289368,32.441177,8.268511
Cyprus,CYP,2020,10.929355,42.750988,43.460884,2.8587756
Czechia,CZE,2020,13.284608,49.504528,30.503748,6.707121
Denmark,DNK,2020,15.279755,53.21566,29.572647,1.9319359
Dominican Republic,DOM,2020,22.711874,41.83298,33.552456,1.902687
Ecuador,ECU,2020,21.694708,51.929554,24.159279,2.2164602
Egypt,EGY,2020,56.098743,32.31345,7.0692477,4.5185595
El Salvador,SLV,2020,22.299795,41.450153,30.70151,5.548545
Estonia,EST,2020,4.61636,28.410734,58.77812,8.194784
Ethiopia,ETH,2020,44.583668,34.304302,18.197817,2.9142156
Europe,,2020,19.050577,43.982693,32.028767,4.9379644
Finland,FIN,2020,6.6289506,40.220234,52.43983,0.7109857
France,FRA,2020,12.134365,31.055502,54.558666,2.251463
Gabon,GAB,2020,25.64844,34.444115,26.249239,13.658207
Georgia,GEO,2020,21.63062,43.36877,31.122108,3.8785007
Germany,DEU,2020,49.547153,34.67734,9.805233,5.970273
Ghana,GHA,2020,14.284058,27.730698,46.048683,11.936557
Greece,GRC,2020,8.805214,38.586918,50.022278,2.5855963
Guinea,GIN,2020,20.85,26.78958,38.012028,14.348392
High-income countries,,2020,15.034522,47.28494,33.974895,3.7056434
Hong Kong,HKG,2020,6.4663973,39.715008,53.083908,0.7346818
Hungary,HUN,2020,16.0622,35.247345,42.20791,6.482549
India,IND,2020,42.248962,26.26446,16.727356,14.759226
Indonesia,IDN,2020,26.980623,35.100544,32.622726,5.296107
Iran,IRN,2020,28.924173,53.184757,14.422836,3.468234
Iraq,IRQ,2020,58.25895,29.698221,9.31483,2.727997
Ireland,IRL,2020,9.812321,57.44538,30.653572,2.0887282
Israel,ISR,2020,11.779242,34.33756,30.72087,23.16233
Italy,ITA,2020,21.366873,49.30796,26.42569,2.8994777
Japan,JPN,2020,2.7134778,43.949223,47.1174,6.2198973
Jordan,JOR,2020,60.667377,29.815338,7.025207,2.492077
Kazakhstan,KAZ,2020,21.04929,44.70737,21.426638,12.816702
Kenya,KEN,2020,31.118677,34.414005,33.51484,0.95247984
Kosovo,OWID_KOS,2020,24.117756,42.808567,25.293646,7.7800303
Kyrgyzstan,KGZ,2020,34.736515,41.26925,14.115259,9.878975
Laos,LAO,2020,56.50934,17.135792,13.621325,12.733547
Latvia,LVA,2020,8.102485,32.954327,44.533005,14.410187
Lebanon,LBN,2020,33.557354,37.092125,18.080757,11.269763
Lithuania,LTU,2020,8.994,20.267313,36.388954,34.349735
Low-income countries,,2020,36.88069,34.688225,22.40241,6.0286746
Lower-middle-income countries,,2020,34.85157,31.863083,21.386637,11.898707
Malaysia,MYS,2020,14.158347,41.80394,39.284344,4.753365
Mali,MLI,2020,36.223072,38.66897,21.150087,3.957876
Malta,MLT,2020,15.609123,34.112934,44.14287,6.135066
Mauritius,MUS,2020,37.353085,35.597786,25.509037,1.540091
Mexico,MEX,2020,19.028091,45.827972,32.218464,2.9254713
Moldova,MDA,2020,15.799915,36.672848,39.16549,8.36175
Mongolia,MNG,2020,17.31226,48.45552,28.71708,5.515141
Montenegro,MNE,2020,13.393899,31.787676,41.023323,13.795101
Morocco,MAR,2020,55.639908,23.061222,5.833535,15.465333
Myanmar,MMR,2020,19.16524,59.337543,18.533594,2.9636216
Namibia,NAM,2020,13.242371,27.684067,53.880024,5.193536
Nepal,NPL,2020,31.990816,49.90607,12.812736,5.29038
Netherlands,NLD,2020,19.575184,53.504307,25.402487,1.518021
New Zealand,NZL,2020,7.616393,57.034107,31.254427,4.095071
Nicaragua,NIC,2020,26.092758,44.1951,28.99789,0.71425205
Nigeria,NGA,2020,11.506056,39.891903,40.30393,8.298115
North America,,2020,10.888448,54.365005,33.293205,1.4533436
North Macedonia,MKD,2020,19.263893,31.62692,39.874588,9.234596
Norway,NOR,2020,9.8570595,50.22639,37.7292,2.1873496
Oceania,,2020,7.2630644,59.751015,30.847002,2.1389225
Paraguay,PRY,2020,18.502247,40.165268,33.63717,7.695317
Peru,PER,2020,25.913599,50.25336,22.786009,1.0470331
Philippines,PHL,2020,28.208256,42.651817,28.513657,0.62627137
Poland,POL,2020,17.411058,45.219593,35.20891,2.160439
Portugal,PRT,2020,24.664425,35.54384,34.1866,5.605133
Romania,ROU,2020,19.265442,32.635098,34.389545,13.709916
Russia,RUS,2020,9.941295,50.387234,35.713253,3.9582176
Saudi Arabia,SAU,2020,49.74626,38.46969,7.458618,4.32543
Senegal,SEN,2020,23.88905,27.912539,41.060318,7.138096
Serbia,SRB,2020,21.168327,30.9866,36.863403,10.981666
Slovakia,SVK,2020,24.664183,48.59733,20.47535,6.263139
Slovenia,SVN,2020,16.971712,47.311546,30.920343,4.7963953
South Africa,ZAF,2020,21.583582,31.156857,35.613506,11.646056
South America,,2020,25.215714,44.10983,28.78697,1.887494
South Korea,KOR,2020,9.0005245,43.83575,44.512325,2.651395
Spain,ESP,2020,22.522491,40.443344,34.194344,2.839818
Sri Lanka,LKA,2020,28.208971,46.69289,14.853881,10.244259
Sweden,SWE,2020,15.146934,61.15222,21.397581,2.303258
Switzerland,CHE,2020,34.36771,41.721153,17.23282,6.678316
Taiwan,TWN,2020,9.367289,21.24004,52.578594,16.814083
Tanzania,TZA,2020,34.58113,43.94773,17.96401,3.5071263
Thailand,THA,2020,31.828373,37.811977,21.170624,9.18903
Tunisia,TUN,2020,46.760735,38.499977,9.067545,5.671742
Turkey,TUR,2020,13.326519,40.486267,42.998055,3.1891642
Uganda,UGA,2020,25.087318,36.870564,25.484604,12.557513
Ukraine,UKR,2020,11.792821,45.21756,33.81334,9.176279
United Arab Emirates,ARE,2020,39.16091,37.03574,17.135777,6.6675715
United Kingdom,GBR,2020,8.396421,57.812916,27.629341,6.161317
United States,USA,2020,7.2477846,57.725986,34.183014,0.8432221
Upper-middle-income countries,,2020,15.149798,36.99741,31.974173,15.878616
Uruguay,URY,2020,21.92993,43.157642,33.311874,1.6005524
Uzbekistan,UZB,2020,50.216694,28.296154,14.763067,6.724083
Venezuela,VEN,2020,19.484858,34.766,44.813244,0.93590117
Vietnam,VNM,2020,28.22067,20.318605,35.320984,16.139744
World,OWID_WRL,2020,23.61903,36.829224,27.904293,11.647459
Zambia,ZMB,2020,31.303564,26.29207,37.58758,4.816784
Zimbabwe,ZWE,2020,45.67105,28.306711,14.606491,11.415748